bag_id,mu_P,k_P,delta_P,mu_B,k_B,beta_B,rho,lambda_D,beta_V,phi_V,Gmax,k_m,theta_Z,P0,D0,B0,V0,Z0,treatment
1,0.45709722281552617,7726693.763346404,0.054184984434622885,0.5783923239144205,4973287.463083526,24.084086042536008,7.889212987917986e-14,0.30221071074813743,171.55894935668337,6.662882565865743e-08,0.4885005492879114,11.070228420741579,0.15515446255886756,96.27967707622729,100.98142719016009,183840.53330657023,588711.0690899607,26.12033746670308,Light
2,0.4468851555815317,8246625.862559938,0.04333568539561679,0.5940947898570561,5217654.001272298,27.406050336076472,9.176567394423155e-14,0.3024428519315231,204.78561961058446,7.20992969900246e-08,0.4987623791166105,11.32380167575011,0.12737899463154648,100.06722216818105,100.9341477922974,191132.70618828438,532634.80743402,28.77127447887923,Light
3,0.45450208455462326,7461216.730491133,0.05102864549653796,0.5140524766190258,5520700.078831962,25.882411002067087,8.012009700220041e-14,0.29803898421216163,202.45993408888998,6.071924489623238e-08,0.5103069602197734,11.548202522379412,0.16631874066330543,101.47094817092352,101.29965471652015,193028.54195325004,668808.1105172297,25.162913139843532,Light
4,0.4672505350837918,7083195.76757033,0.05602326670322064,0.5604512512484067,5624489.658882798,25.176645105207935,8.046008799669984e-14,0.2655818465664922,313.1383663059721,6.677514356302636e-08,0.4333305858111071,9.699941588486663,0.12720011236341922,87.84358487248929,97.50213567213453,165699.64688586915,558963.4848389832,28.32011229421333,Light
5,0.46630590010196954,7420360.660981288,0.0776174851597426,0.6040049540403033,3930901.878053609,23.13824553432793,7.365859811394778e-14,0.2219965022169413,267.5300343350466,6.994535910783271e-08,0.5709157475386295,12.06255291147491,0.1550051035715537,98.45690825209142,101.6631677761128,214976.3198399832,506266.37791899225,23.402747668490726,Dark
6,0.44032959543967143,7182742.829172955,0.05202292864160082,0.5004087211686041,6079067.222154615,25.511848751807644,8.552939190155986e-14,0.3076749048367824,279.71765502704574,7.264479781806384e-08,0.5333196409033634,10.2646903479813,0.1821835076013101,115.03412616739693,120.626916856091,192513.4975425039,605644.6221888388,23.31089516799647,Dark
7,0.42063181757468193,7725883.23198637,0.052854289609309005,0.5003625831451122,6346990.491613536,29.926995238201155,7.703861351282739e-14,0.27234818863654986,529.2643798419361,7.724110285370971e-08,0.3752291166070245,14.583795613818276,0.10685051372805682,121.05401864825521,120.81615187408775,177179.89151415759,703799.7157831439,27.718178469097282,Dark
8,0.19540340971260206,8066520.567708926,0.12801451955090123,0.10764281891079902,7348882.03410014,22.74938839417796,8.569988083436284e-14,0.3495597117101331,208.97805294679455,1.4770665286136964e-08,0.34515062724212064,14.172883576416558,0.07674677563223953,61.631735967264895,75.38251378453677,221544.83511409195,105875.07710456608,17.365586055612084,Control
